#Data tag : 22v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
355100:7920,50:50,07/05/22 14:47:25,STABLE BEAMS,6800,110.439811281,109.402777660,16.8,BCM1F
355100:7920,51:51,07/05/22 14:47:48,STABLE BEAMS,6800,110.451366434,109.376650939,16.9,BCM1F
355100:7920,52:52,07/05/22 14:48:12,STABLE BEAMS,6800,110.351456435,109.172140812,16.8,BCM1F
355100:7920,53:53,07/05/22 14:48:35,STABLE BEAMS,6800,110.290288951,75.547894521,16.9,BCM1F
355100:7920,54:54,07/05/22 14:48:58,STABLE BEAMS,6800,110.095399183,77.296708794,16.7,BCM1F
355100:7920,55:55,07/05/22 14:49:21,STABLE BEAMS,6800,109.798524756,108.773906456,16.7,BCM1F
355100:7920,56:56,07/05/22 14:49:45,STABLE BEAMS,6800,110.190502499,109.175054659,16.8,BCM1F
355100:7920,57:57,07/05/22 14:50:08,STABLE BEAMS,6800,109.882093899,108.770332913,16.9,BCM1F
355100:7920,58:58,07/05/22 14:50:31,STABLE BEAMS,6800,110.258166697,109.206908839,16.8,BCM1F
355100:7920,59:59,07/05/22 14:50:55,STABLE BEAMS,6800,109.902434885,108.873716218,16.7,BCM1F
355100:7920,60:60,07/05/22 14:51:18,STABLE BEAMS,6800,110.062596254,109.022637130,16.8,BCM1F
355100:7920,61:61,07/05/22 14:51:41,STABLE BEAMS,6800,110.392637257,109.319651422,16.8,BCM1F
355100:7920,62:62,07/05/22 14:52:05,STABLE BEAMS,6800,110.064244326,108.991568524,16.8,BCM1F
355100:7920,63:63,07/05/22 14:52:28,STABLE BEAMS,6800,109.931923020,108.893073489,16.8,BCM1F
355100:7920,64:64,07/05/22 14:52:51,STABLE BEAMS,6800,110.133535617,109.082704346,16.7,BCM1F
355100:7920,65:65,07/05/22 14:53:15,STABLE BEAMS,6800,109.876802352,108.825936115,16.6,BCM1F
355100:7920,66:66,07/05/22 14:53:38,STABLE BEAMS,6800,109.803303466,108.720937372,16.8,BCM1F
355100:7920,67:67,07/05/22 14:54:01,STABLE BEAMS,6800,109.751996441,108.727221959,16.7,BCM1F
355100:7920,68:68,07/05/22 14:54:25,STABLE BEAMS,6800,109.431729647,108.418759744,16.7,BCM1F
355100:7920,69:69,07/05/22 14:54:48,STABLE BEAMS,6800,109.073501250,108.063116512,16.8,BCM1F
355100:7920,70:70,07/05/22 14:55:11,STABLE BEAMS,6800,109.658450285,108.621290785,16.8,BCM1F
355100:7920,71:71,07/05/22 14:55:34,STABLE BEAMS,6800,109.147930237,108.077156594,16.7,BCM1F
355100:7920,72:72,07/05/22 14:55:58,STABLE BEAMS,6800,109.455515966,108.430345201,16.8,BCM1F
355100:7920,73:73,07/05/22 14:56:21,STABLE BEAMS,6800,109.305790833,108.259227765,16.6,BCM1F
355100:7920,74:74,07/05/22 14:56:44,STABLE BEAMS,6800,109.324786786,108.258078544,16.8,BCM1F
355100:7920,75:75,07/05/22 14:57:08,STABLE BEAMS,6800,108.937881469,107.903554229,16.9,BCM1F
355100:7920,76:76,07/05/22 14:57:31,STABLE BEAMS,6800,108.697649904,107.665807594,16.6,BCM1F
355100:7920,77:77,07/05/22 14:57:54,STABLE BEAMS,6800,108.681262427,107.569135462,16.9,BCM1F
355100:7920,78:78,07/05/22 14:58:18,STABLE BEAMS,6800,108.955000905,107.919529106,16.7,BCM1F
355100:7920,79:79,07/05/22 14:58:41,STABLE BEAMS,6800,108.912815388,106.598444318,16.7,BCM1F
355100:7920,80:80,07/05/22 14:59:04,STABLE BEAMS,6800,109.276468204,108.265654547,16.6,BCM1F
355100:7920,81:81,07/05/22 14:59:28,STABLE BEAMS,6800,108.825982736,107.547862045,16.7,BCM1F
355100:7920,82:82,07/05/22 14:59:51,STABLE BEAMS,6800,109.149219323,108.114134483,16.5,BCM1F
355100:7920,83:83,07/05/22 15:00:14,STABLE BEAMS,6800,108.761178770,107.711335876,16.6,BCM1F
355100:7920,84:84,07/05/22 15:00:38,STABLE BEAMS,6800,108.815276095,107.748225184,16.6,BCM1F
355100:7920,85:85,07/05/22 15:01:01,STABLE BEAMS,6800,108.618544775,107.594457961,16.5,BCM1F
355100:7920,86:86,07/05/22 15:01:24,STABLE BEAMS,6800,108.803434220,107.772738799,16.5,BCM1F
355100:7920,87:87,07/05/22 15:01:47,STABLE BEAMS,6800,108.231504255,107.200969679,16.4,BCM1F
355100:7920,88:88,07/05/22 15:02:11,STABLE BEAMS,6800,108.584079789,107.588523037,16.6,BCM1F
355100:7920,89:89,07/05/22 15:02:34,STABLE BEAMS,6800,108.822059532,107.801460010,16.6,BCM1F
355100:7920,90:90,07/05/22 15:02:57,STABLE BEAMS,6800,108.568659708,107.537302262,16.7,BCM1F
355100:7920,91:91,07/05/22 15:03:21,STABLE BEAMS,6800,108.310807526,107.320449078,16.5,BCM1F
355100:7920,92:92,07/05/22 15:03:44,STABLE BEAMS,6800,108.385299451,107.195270194,16.5,BCM1F
355100:7920,93:93,07/05/22 15:04:07,STABLE BEAMS,6800,108.307287598,107.244572492,16.6,BCM1F
355100:7920,94:94,07/05/22 15:04:31,STABLE BEAMS,6800,108.436252152,107.417655026,16.7,BCM1F
355100:7920,95:95,07/05/22 15:04:54,STABLE BEAMS,6800,108.150140312,107.131620112,16.4,BCM1F
355100:7920,96:96,07/05/22 15:05:17,STABLE BEAMS,6800,107.520560460,106.495907194,16.4,BCM1F
355100:7920,97:97,07/05/22 15:05:41,STABLE BEAMS,6800,107.567480396,106.556834577,16.5,BCM1F
