#Data tag : 23v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
366442:8637,1:1,04/21/23 21:40:14,STABLE BEAMS,6800,344.732714862,341.136281247,52.5,PLTZERO
366442:8637,2:2,04/21/23 21:40:37,STABLE BEAMS,6800,344.438404621,341.233755270,52.7,PLTZERO
366442:8637,3:3,04/21/23 21:41:01,STABLE BEAMS,6800,343.901429170,340.764754051,52.5,PLTZERO
366442:8637,4:4,04/21/23 21:41:24,STABLE BEAMS,6800,344.256801997,341.121875186,52.3,PLTZERO
366442:8637,5:5,04/21/23 21:41:47,STABLE BEAMS,6800,343.488781759,340.095758003,52.2,PLTZERO
366442:8637,6:6,04/21/23 21:42:11,STABLE BEAMS,6800,343.584985344,340.331033696,52.7,PLTZERO
366442:8637,7:7,04/21/23 21:42:34,STABLE BEAMS,6800,343.351714378,340.016781083,52.3,PLTZERO
366442:8637,8:8,04/21/23 21:42:57,STABLE BEAMS,6800,342.856616742,339.058894550,52.2,PLTZERO
366442:8637,9:9,04/21/23 21:43:21,STABLE BEAMS,6800,343.019279358,339.776423640,52.2,PLTZERO
366442:8637,10:10,04/21/23 21:43:44,STABLE BEAMS,6800,342.182492322,339.055258069,52.5,PLTZERO
366442:8637,11:11,04/21/23 21:44:07,STABLE BEAMS,6800,343.035760079,339.617012878,52.5,PLTZERO
366442:8637,12:12,04/21/23 21:44:30,STABLE BEAMS,6800,342.775308744,339.366946495,52.3,PLTZERO
366442:8637,13:13,04/21/23 21:44:54,STABLE BEAMS,6800,342.254406076,339.278155738,52.0,PLTZERO
366442:8637,14:14,04/21/23 21:45:17,STABLE BEAMS,6800,341.823040109,338.692215996,51.9,PLTZERO
366442:8637,15:15,04/21/23 21:45:40,STABLE BEAMS,6800,341.892296434,338.777836487,52.0,PLTZERO
366442:8637,16:16,04/21/23 21:46:04,STABLE BEAMS,6800,342.213752077,339.022646289,52.2,PLTZERO
366442:8637,17:17,04/21/23 21:46:27,STABLE BEAMS,6800,340.843894146,337.381718963,52.0,PLTZERO
366442:8637,18:18,04/21/23 21:46:50,STABLE BEAMS,6800,341.833646514,338.341528636,52.2,PLTZERO
366442:8637,19:19,04/21/23 21:47:14,STABLE BEAMS,6800,341.455662231,337.570221578,52.2,PLTZERO
366442:8637,20:20,04/21/23 21:47:37,STABLE BEAMS,6800,340.861097501,337.551409779,51.9,PLTZERO
366442:8637,21:21,04/21/23 21:48:00,STABLE BEAMS,6800,340.305811433,336.859895519,52.2,PLTZERO
366442:8637,22:22,04/21/23 21:48:24,STABLE BEAMS,6800,340.759019599,336.651345634,52.2,PLTZERO
366442:8637,23:23,04/21/23 21:48:47,STABLE BEAMS,6800,340.590039762,337.406113694,52.5,PLTZERO
366442:8637,24:24,04/21/23 21:49:10,STABLE BEAMS,6800,340.266626013,337.147550532,52.0,PLTZERO
366442:8637,25:25,04/21/23 21:49:33,STABLE BEAMS,6800,340.756222306,337.620945833,51.8,PLTZERO
366442:8637,26:26,04/21/23 21:49:57,STABLE BEAMS,6800,340.308049268,337.177365019,52.0,PLTZERO
366442:8637,27:27,04/21/23 21:50:20,STABLE BEAMS,6800,339.285335458,336.208196069,51.7,PLTZERO
366442:8637,28:28,04/21/23 21:50:43,STABLE BEAMS,6800,339.430351815,333.410413055,52.0,PLTZERO
366442:8637,29:29,04/21/23 21:51:07,STABLE BEAMS,6800,339.174329528,335.996137912,52.0,PLTZERO
366442:8637,30:30,04/21/23 21:51:30,STABLE BEAMS,6800,339.095655649,336.093227306,52.0,PLTZERO
366442:8637,31:31,04/21/23 21:51:53,STABLE BEAMS,6800,338.637062692,335.479804155,51.8,PLTZERO
366442:8637,32:32,04/21/23 21:52:17,STABLE BEAMS,6800,338.784922964,335.298982442,51.5,PLTZERO
366442:8637,33:33,04/21/23 21:52:40,STABLE BEAMS,6800,337.774424003,333.804691572,51.3,PLTZERO
366442:8637,34:34,04/21/23 21:53:03,STABLE BEAMS,6800,338.040912829,334.491939961,51.6,PLTZERO
366442:8637,35:35,04/21/23 21:53:27,STABLE BEAMS,6800,337.119600908,333.927632621,51.5,PLTZERO
366442:8637,36:36,04/21/23 21:53:50,STABLE BEAMS,6800,337.622321169,334.525577415,51.7,PLTZERO
366442:8637,37:37,04/21/23 21:54:13,STABLE BEAMS,6800,337.499077080,334.376062078,51.4,PLTZERO
366442:8637,38:38,04/21/23 21:54:37,STABLE BEAMS,6800,336.470628819,333.248543006,51.2,PLTZERO
366442:8637,39:39,04/21/23 21:55:00,STABLE BEAMS,6800,335.768251735,330.838977707,51.4,PLTZERO
366442:8637,40:40,04/21/23 21:55:23,STABLE BEAMS,6800,336.424403544,331.919234175,51.2,PLTZERO
366442:8637,41:41,04/21/23 21:55:46,STABLE BEAMS,6800,335.780280097,332.404879290,51.2,PLTZERO
366442:8637,42:42,04/21/23 21:56:10,STABLE BEAMS,6800,335.662397488,332.765800082,51.0,PLTZERO
366442:8637,43:43,04/21/23 21:56:33,STABLE BEAMS,6800,335.435513675,332.306554424,51.6,PLTZERO
366442:8637,44:44,04/21/23 21:56:56,STABLE BEAMS,6800,334.898829609,331.818216914,51.0,PLTZERO
366442:8637,45:45,04/21/23 21:57:20,STABLE BEAMS,6800,334.882325577,331.887636414,51.9,PLTZERO
366442:8637,46:46,04/21/23 21:57:43,STABLE BEAMS,6800,334.597094885,331.561798344,51.0,PLTZERO
366442:8637,47:47,04/21/23 21:58:06,STABLE BEAMS,6800,334.543316918,331.418903268,51.0,PLTZERO
366442:8637,48:48,04/21/23 21:58:30,STABLE BEAMS,6800,334.204238325,331.072178741,51.1,PLTZERO
366442:8637,49:49,04/21/23 21:58:53,STABLE BEAMS,6800,334.439467397,331.156657004,51.2,PLTZERO
366442:8637,50:50,04/21/23 21:59:16,STABLE BEAMS,6800,333.259522383,330.216696460,50.6,PLTZERO
366442:8637,51:51,04/21/23 21:59:40,STABLE BEAMS,6800,332.978907224,329.836777383,50.9,PLTZERO
366442:8637,52:52,04/21/23 22:00:03,STABLE BEAMS,6800,332.459519756,329.359069588,50.8,PLTZERO
366442:8637,53:53,04/21/23 22:00:26,STABLE BEAMS,6800,332.471524807,327.645960435,51.0,PLTZERO
366442:8637,54:54,04/21/23 22:00:50,STABLE BEAMS,6800,332.246575790,329.129738143,50.4,PLTZERO
366442:8637,55:55,04/21/23 22:01:13,STABLE BEAMS,6800,332.295062210,329.136451648,50.7,PLTZERO
366442:8637,56:56,04/21/23 22:01:36,STABLE BEAMS,6800,331.733983413,328.207936696,50.5,PLTZERO
366442:8637,57:57,04/21/23 22:01:59,STABLE BEAMS,6800,331.844464851,328.646855355,50.6,PLTZERO
366442:8637,58:58,04/21/23 22:02:23,STABLE BEAMS,6800,331.619142860,328.609278379,50.6,PLTZERO
366442:8637,59:59,04/21/23 22:02:46,STABLE BEAMS,6800,332.110907055,329.139668535,50.6,PLTZERO
366442:8637,60:60,04/21/23 22:03:09,STABLE BEAMS,6800,332.508146041,329.305384864,50.6,PLTZERO
366442:8637,61:61,04/21/23 22:03:33,STABLE BEAMS,6800,331.771315626,328.569883163,50.6,PLTZERO
366442:8637,62:62,04/21/23 22:03:56,STABLE BEAMS,6800,332.552832805,329.385061106,50.6,PLTZERO
366442:8637,63:63,04/21/23 22:04:19,STABLE BEAMS,6800,332.076290549,329.075890244,50.7,PLTZERO
366442:8637,64:64,04/21/23 22:04:43,STABLE BEAMS,6800,331.689471481,328.673173225,50.4,PLTZERO
366442:8637,65:65,04/21/23 22:05:06,STABLE BEAMS,6800,331.454219099,328.202878257,50.5,PLTZERO
366442:8637,66:66,04/21/23 22:05:29,STABLE BEAMS,6800,330.497311618,326.616031939,50.4,PLTZERO
366442:8637,67:67,04/21/23 22:05:53,STABLE BEAMS,6800,331.036862910,327.970236682,50.6,PLTZERO
366442:8637,68:68,04/21/23 22:06:16,STABLE BEAMS,6800,330.596219254,326.342887886,50.7,PLTZERO
