#Data tag : 23v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
367095:8728,1:1,05/06/23 11:29:01,STABLE BEAMS,6800,141225.247588086,139955.306649091,37.5,HFET
367095:8728,2:2,05/06/23 11:29:25,STABLE BEAMS,6800,141673.364680360,140659.898256858,37.5,HFET
367095:8728,3:3,05/06/23 11:29:48,STABLE BEAMS,6800,142163.643978714,141157.863119067,37.7,HFET
367095:8728,4:4,05/06/23 11:30:11,STABLE BEAMS,6800,142378.333922748,141371.040193540,37.8,HFET
367095:8728,5:5,05/06/23 11:30:35,STABLE BEAMS,6800,142391.457891357,141356.757679212,37.8,HFET
367095:8728,6:6,05/06/23 11:30:58,STABLE BEAMS,6800,142244.704881806,141236.979903185,37.8,HFET
367095:8728,7:7,05/06/23 11:31:21,STABLE BEAMS,6800,142045.847618907,141041.868682481,37.7,HFET
367095:8728,8:8,05/06/23 11:31:45,STABLE BEAMS,6800,141874.124102830,140812.220211526,37.7,HFET
367095:8728,9:9,05/06/23 11:32:08,STABLE BEAMS,6800,141439.876924095,140377.255060796,37.6,HFET
367095:8728,10:10,05/06/23 11:32:31,STABLE BEAMS,6800,140411.202548336,139328.652300021,37.4,HFET
367095:8728,11:11,05/06/23 11:32:55,STABLE BEAMS,6800,140261.367853793,137597.118307379,37.3,HFET
367095:8728,12:12,05/06/23 11:33:18,STABLE BEAMS,6800,140091.942780531,138968.351574610,37.2,HFET
367095:8728,13:13,05/06/23 11:33:41,STABLE BEAMS,6800,139890.306872769,138652.411261743,37.2,HFET
367095:8728,14:14,05/06/23 11:34:04,STABLE BEAMS,6800,139713.678768779,138298.236609067,37.1,HFET
367095:8728,15:15,05/06/23 11:34:28,STABLE BEAMS,6800,139553.619966542,138182.894874295,37.1,HFET
367095:8728,16:16,05/06/23 11:34:51,STABLE BEAMS,6800,139543.092818720,138177.719881344,37.0,HFET
367095:8728,17:17,05/06/23 11:35:14,STABLE BEAMS,6800,139537.554177616,138200.168161576,37.0,HFET
367095:8728,18:18,05/06/23 11:35:38,STABLE BEAMS,6800,139653.511316955,138073.986914542,37.0,HFET
367095:8728,19:19,05/06/23 11:36:01,STABLE BEAMS,6800,139584.968302217,137982.422174407,37.1,HFET
367095:8728,20:20,05/06/23 11:36:24,STABLE BEAMS,6800,139291.147587597,131752.896200856,37.0,HFET
367095:8728,21:21,05/06/23 11:36:48,STABLE BEAMS,6800,139041.204752395,112848.096817986,36.9,HFET
367095:8728,22:22,05/06/23 11:37:11,STABLE BEAMS,6800,138949.180789913,137322.657194766,36.9,HFET
367095:8728,23:23,05/06/23 11:37:34,STABLE BEAMS,6800,138932.732704211,137318.018349733,36.9,HFET
367095:8728,24:24,05/06/23 11:37:58,STABLE BEAMS,6800,139019.294951160,137051.639084219,36.9,HFET
367095:8728,25:25,05/06/23 11:38:21,STABLE BEAMS,6800,139110.603272725,137181.146779424,36.9,HFET
367095:8728,26:26,05/06/23 11:38:44,STABLE BEAMS,6800,139174.831462260,137248.939187077,36.9,HFET
367095:8728,27:27,05/06/23 11:39:08,STABLE BEAMS,6800,139108.635842973,136693.998118697,36.9,HFET
367095:8728,28:28,05/06/23 11:39:31,STABLE BEAMS,6800,138899.531161601,136455.099930613,36.8,HFET
367095:8728,29:29,05/06/23 11:39:54,STABLE BEAMS,6800,138849.869877898,136441.780151460,36.9,HFET
367095:8728,30:30,05/06/23 11:40:17,STABLE BEAMS,6800,138730.551324219,136135.143170515,36.8,HFET
367095:8728,31:31,05/06/23 11:40:41,STABLE BEAMS,6800,138625.652818464,111154.862435334,36.8,HFET
367095:8728,32:32,05/06/23 11:41:04,STABLE BEAMS,6800,138507.812168176,135654.598453495,36.8,HFET
367095:8728,33:33,05/06/23 11:41:27,STABLE BEAMS,6800,138411.736792294,135772.140725810,36.7,HFET
367095:8728,34:34,05/06/23 11:41:51,STABLE BEAMS,6800,138320.414484262,135695.494884272,36.7,HFET
367095:8728,35:35,05/06/23 11:42:14,STABLE BEAMS,6800,138159.141190436,135557.798112384,36.7,HFET
367095:8728,36:36,05/06/23 11:42:37,STABLE BEAMS,6800,138056.294033238,135512.022735550,36.6,HFET
367095:8728,37:37,05/06/23 11:43:01,STABLE BEAMS,6800,138355.278085419,98592.257014429,36.6,HFET
367095:8728,38:38,05/06/23 11:43:24,STABLE BEAMS,6800,143183.919480779,140244.033958487,37.2,HFET
367095:8728,39:39,05/06/23 11:43:47,STABLE BEAMS,6800,144901.504303234,141856.417235059,38.5,HFET
