#Data tag : 23v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
357538:8132,37:37,08/15/22 20:36:32,STABLE BEAMS,6800,262511.610985724,258765.778588326,33.4,BCM1F
357538:8132,38:38,08/15/22 20:36:55,STABLE BEAMS,6800,262137.379738748,195021.777245224,33.4,BCM1F
357538:8132,39:39,08/15/22 20:37:18,STABLE BEAMS,6800,261982.782652044,29200.282351527,33.3,BCM1F
357538:8132,40:40,08/15/22 20:37:42,STABLE BEAMS,6800,261645.126017408,257597.745382133,33.3,BCM1F
357538:8132,41:41,08/15/22 20:38:05,STABLE BEAMS,6800,261399.220609139,257346.292008448,33.2,BCM1F
357538:8132,42:42,08/15/22 20:38:28,STABLE BEAMS,6800,261281.268067112,245374.528586748,33.2,BCM1F
357538:8132,43:43,08/15/22 20:38:52,STABLE BEAMS,6800,261160.424988482,202863.150347429,33.2,BCM1F
357538:8132,44:44,08/15/22 20:39:15,STABLE BEAMS,6800,261042.822108141,257302.584297717,33.2,BCM1F
357538:8132,45:45,08/15/22 20:39:38,STABLE BEAMS,6800,261093.989268171,200949.172211422,33.2,BCM1F
357538:8132,46:46,08/15/22 20:40:02,STABLE BEAMS,6800,260916.058091631,257169.386506187,33.2,BCM1F
357538:8132,47:47,08/15/22 20:40:25,STABLE BEAMS,6800,260843.328460974,254007.652299612,33.2,BCM1F
357538:8132,48:48,08/15/22 20:40:48,STABLE BEAMS,6800,260808.851818749,257048.403562883,33.2,BCM1F
357538:8132,49:49,08/15/22 20:41:11,STABLE BEAMS,6800,260907.852697403,256364.488616139,33.2,BCM1F
357538:8132,50:50,08/15/22 20:41:35,STABLE BEAMS,6800,260993.286702646,257249.459032247,33.2,BCM1F
357538:8132,51:51,08/15/22 20:41:58,STABLE BEAMS,6800,260599.870684506,252055.957323091,33.2,BCM1F
357538:8132,52:52,08/15/22 20:42:21,STABLE BEAMS,6800,260191.465835433,256461.624632468,33.1,BCM1F
357538:8132,53:53,08/15/22 20:42:45,STABLE BEAMS,6800,259896.957452831,256056.763021811,33.1,BCM1F
357538:8132,54:54,08/15/22 20:43:08,STABLE BEAMS,6800,259499.718466926,251531.418172758,33.0,BCM1F
357538:8132,55:55,08/15/22 20:43:31,STABLE BEAMS,6800,259015.157302674,255234.568533703,33.0,BCM1F
357538:8132,56:56,08/15/22 20:43:55,STABLE BEAMS,6800,258591.134231633,254489.625967388,32.9,BCM1F
357538:8132,57:57,08/15/22 20:44:18,STABLE BEAMS,6800,258411.687854455,254730.333071928,32.9,BCM1F
357538:8132,58:58,08/15/22 20:44:41,STABLE BEAMS,6800,258251.029965196,232542.644039413,32.8,BCM1F
357538:8132,59:59,08/15/22 20:45:05,STABLE BEAMS,6800,257923.396965555,157560.982328665,32.8,BCM1F
357538:8132,60:60,08/15/22 20:45:28,STABLE BEAMS,6800,257539.515056049,251423.116293260,32.8,BCM1F
357538:8132,61:61,08/15/22 20:45:51,STABLE BEAMS,6800,257254.144498837,124762.772141777,32.7,BCM1F
357538:8132,62:62,08/15/22 20:46:15,STABLE BEAMS,6800,257007.399902522,31403.349114006,32.7,BCM1F
357538:8132,63:63,08/15/22 20:46:38,STABLE BEAMS,6800,256932.595612529,27849.392401179,32.7,BCM1F
357538:8132,64:64,08/15/22 20:47:01,STABLE BEAMS,6800,256729.558726945,10926.181737892,32.6,BCM1F
357538:8132,65:0,08/15/22 20:47:24,STABLE BEAMS,6800,256546.032963432,0,32.6,BCM1F
357538:8132,66:0,08/15/22 20:47:48,STABLE BEAMS,6800,256399.897689526,0,32.6,BCM1F
357538:8132,67:0,08/15/22 20:48:11,STABLE BEAMS,6800,256282.830957103,0,32.6,BCM1F
357538:8132,68:0,08/15/22 20:48:34,STABLE BEAMS,6800,256098.675802555,0,32.6,BCM1F
357538:8132,69:0,08/15/22 20:48:58,STABLE BEAMS,6800,256053.429580406,0,32.6,BCM1F
357539:8132,1:1,08/15/22 20:49:04,STABLE BEAMS,6800,255863.376798757,11900.541998449,32.5,BCM1F
357539:8132,2:2,08/15/22 20:49:28,STABLE BEAMS,6800,256179.028057964,39887.223232882,32.5,BCM1F
357539:8132,3:3,08/15/22 20:49:51,STABLE BEAMS,6800,256617.107528776,16183.043076955,32.6,BCM1F
357539:8132,4:4,08/15/22 20:50:14,STABLE BEAMS,6800,256458.780717423,51514.374083476,32.6,BCM1F
357539:8132,5:5,08/15/22 20:50:38,STABLE BEAMS,6800,256135.530144244,40943.157233670,32.6,BCM1F
357539:8132,6:6,08/15/22 20:51:01,STABLE BEAMS,6800,255932.842920346,132808.303378037,32.6,BCM1F
357539:8132,7:7,08/15/22 20:51:24,STABLE BEAMS,6800,255609.662279504,49815.731600083,32.5,BCM1F
357539:8132,8:8,08/15/22 20:51:48,STABLE BEAMS,6800,255574.486313908,13526.376993183,32.5,BCM1F
357539:8132,9:0,08/15/22 20:52:11,STABLE BEAMS,6800,258569.734936459,0,32.7,BCM1F
357539:8132,10:0,08/15/22 20:52:34,STABLE BEAMS,6800,259906.561493802,0,33.0,BCM1F
357539:8132,11:0,08/15/22 20:52:58,STABLE BEAMS,6800,259851.874406135,0,33.0,BCM1F
357539:8132,12:0,08/15/22 20:53:21,STABLE BEAMS,6800,259768.095466205,0,33.0,BCM1F
357539:8132,13:0,08/15/22 20:53:44,STABLE BEAMS,6800,260130.181797293,0,33.0,BCM1F
357539:8132,14:0,08/15/22 20:54:07,STABLE BEAMS,6800,267866.120245824,0,33.4,BCM1F
357539:8132,15:0,08/15/22 20:54:31,STABLE BEAMS,6800,274194.204193226,0,34.8,BCM1F
357539:8132,16:0,08/15/22 20:54:54,STABLE BEAMS,6800,274329.663130325,0,34.9,BCM1F
357540:8132,1:1,08/15/22 20:54:59,STABLE BEAMS,6800,274309.545927999,74181.852563769,34.8,BCM1F
357540:8132,2:2,08/15/22 20:55:22,STABLE BEAMS,6800,274172.734965715,0,34.9,BCM1F
357540:8132,3:0,08/15/22 20:55:45,STABLE BEAMS,6800,274525.100701936,0,34.8,BCM1F
357540:8132,4:0,08/15/22 20:56:09,STABLE BEAMS,6800,284551.206638891,0,35.4,BCM1F
357540:8132,5:0,08/15/22 20:56:32,STABLE BEAMS,6800,289759.837043654,0,36.9,BCM1F
357540:8132,6:0,08/15/22 20:56:55,STABLE BEAMS,6800,289524.584661414,0,36.8,BCM1F
357542:8132,1:1,08/15/22 20:57:04,STABLE BEAMS,6800,289241.801600678,272678.210988054,36.7,BCM1F
357542:8132,2:2,08/15/22 20:57:27,STABLE BEAMS,6800,289644.402065766,280322.095170090,36.8,BCM1F
357542:8132,3:3,08/15/22 20:57:50,STABLE BEAMS,6800,294076.014272232,288688.450327430,36.9,BCM1F
357542:8132,4:4,08/15/22 20:58:14,STABLE BEAMS,6800,306569.402996884,293935.403652962,38.3,BCM1F
357542:8132,5:5,08/15/22 20:58:37,STABLE BEAMS,6800,307945.251798368,300995.492684303,39.2,BCM1F
357542:8132,6:6,08/15/22 20:59:00,STABLE BEAMS,6800,307195.157549882,292815.250786951,39.1,BCM1F
357542:8132,7:7,08/15/22 20:59:23,STABLE BEAMS,6800,306373.662385145,229986.990088313,39.0,BCM1F
357542:8132,8:8,08/15/22 20:59:47,STABLE BEAMS,6800,311099.782974214,297742.275325320,38.9,BCM1F
357542:8132,9:9,08/15/22 21:00:10,STABLE BEAMS,6800,321576.509581114,308201.950097340,40.6,BCM1F
