#Data tag : 22v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
359356:8184,116:116,09/27/22 00:27:37,STABLE BEAMS,6800,73.096076104,65.432960529,22.3,BCM1F
359356:8184,117:117,09/27/22 00:28:00,STABLE BEAMS,6800,73.133634431,0.874375084,22.3,BCM1F
359356:8184,118:118,09/27/22 00:28:23,STABLE BEAMS,6800,72.714350441,68.745634361,22.1,BCM1F
359356:8184,119:119,09/27/22 00:28:47,STABLE BEAMS,6800,72.832095517,72.155602723,22.4,BCM1F
359356:8184,120:120,09/27/22 00:29:10,STABLE BEAMS,6800,72.899067386,72.214348217,22.3,BCM1F
359356:8184,121:121,09/27/22 00:29:33,STABLE BEAMS,6800,72.652581539,71.974244862,21.9,BCM1F
359356:8184,122:122,09/27/22 00:29:57,STABLE BEAMS,6800,73.021607489,72.343294122,22.5,BCM1F
359356:8184,123:123,09/27/22 00:30:20,STABLE BEAMS,6800,72.827554578,72.154264684,22.3,BCM1F
359356:8184,124:124,09/27/22 00:30:43,STABLE BEAMS,6800,72.858716427,72.185270351,22.0,BCM1F
359356:8184,125:125,09/27/22 00:31:06,STABLE BEAMS,6800,72.772373301,72.102095160,22.4,BCM1F
359356:8184,126:126,09/27/22 00:31:30,STABLE BEAMS,6800,72.969687391,72.299127189,22.3,BCM1F
359356:8184,127:127,09/27/22 00:31:53,STABLE BEAMS,6800,72.344783681,71.681557051,22.1,BCM1F
359356:8184,128:128,09/27/22 00:32:16,STABLE BEAMS,6800,72.663563247,71.998504389,22.2,BCM1F
359356:8184,129:129,09/27/22 00:32:40,STABLE BEAMS,6800,72.670432933,72.003940463,22.3,BCM1F
359356:8184,130:130,09/27/22 00:33:03,STABLE BEAMS,6800,72.525428232,71.860327415,22.0,BCM1F
359356:8184,131:131,09/27/22 00:33:26,STABLE BEAMS,6800,72.458572918,71.793301932,22.3,BCM1F
359356:8184,132:132,09/27/22 00:33:50,STABLE BEAMS,6800,72.302516577,71.638068461,22.2,BCM1F
359356:8184,133:133,09/27/22 00:34:13,STABLE BEAMS,6800,72.385593862,71.721523381,22.0,BCM1F
359356:8184,134:134,09/27/22 00:34:36,STABLE BEAMS,6800,72.190179601,71.528831820,22.1,BCM1F
359356:8184,135:135,09/27/22 00:35:00,STABLE BEAMS,6800,72.200804654,71.536368194,22.2,BCM1F
359356:8184,136:136,09/27/22 00:35:23,STABLE BEAMS,6800,72.015954838,71.355497529,22.1,BCM1F
359356:8184,137:137,09/27/22 00:35:46,STABLE BEAMS,6800,71.843518013,71.186060800,21.7,BCM1F
359356:8184,138:138,09/27/22 00:36:09,STABLE BEAMS,6800,71.822519663,71.162593839,21.9,BCM1F
359356:8184,139:139,09/27/22 00:36:33,STABLE BEAMS,6800,71.871481623,71.211823873,22.2,BCM1F
359356:8184,140:140,09/27/22 00:36:56,STABLE BEAMS,6800,71.932308770,71.273665039,21.8,BCM1F
359356:8184,141:141,09/27/22 00:37:19,STABLE BEAMS,6800,72.102211714,71.444204367,22.1,BCM1F
359356:8184,142:142,09/27/22 00:37:43,STABLE BEAMS,6800,71.762450116,71.103750439,21.8,BCM1F
359356:8184,143:143,09/27/22 00:38:06,STABLE BEAMS,6800,71.678319184,71.023274637,21.9,BCM1F
359356:8184,144:144,09/27/22 00:38:29,STABLE BEAMS,6800,71.507940699,70.749806563,21.9,BCM1F
359356:8184,145:145,09/27/22 00:38:53,STABLE BEAMS,6800,71.736335050,71.076612030,21.9,BCM1F
